,suburb,median_price,p_type
245,Edithvale,954000,house
148,Edithvale,694000,unit
246,Eildon,251500,house
247,Elliminyt,445000,house
248,Elmore,235000,house
249,Elsternwick,1750000,house
149,Elsternwick,600000,unit
250,Eltham,925000,house
150,Eltham,650000,unit
251,Eltham North,930000,house
252,Elwood,1952500,house
151,Elwood,672500,unit
253,Emerald,660000,house
254,Endeavour Hills,620000,house
152,Endeavour Hills,497500,unit
255,Epping,550000,house
153,Epping,400000,unit
256,Epsom,371500,house
154,Epsom,305000,unit
257,Essendon,1447000,house
155,Essendon,520000,unit
136,Essendon Fields,849250,house
137,Essendon Fields,516000,unit
258,Essendon North,1100000,house
156,Essendon North,425000,unit
259,Essendon West,1160000,house
260,Eumemmerring,540000,house
157,Eumemmerring,430000,unit
261,Eureka,360000,house
262,Euroa,309000,house
158,Euroa,239000,unit
138,Exford,556750,house
139,Exford,415500,unit
263,Eynesbury,558500,house
264,Fairfield,1290000,house
159,Fairfield,526500,unit
265,Fairhaven,1395000,house
266,Fawkner,665000,house
160,Fawkner,477500,unit
140,Fawkner East,914500,house
141,Fawkner East,521000,unit
142,Fawkner North,914500,house
143,Fawkner North,521000,unit
267,Ferntree Gully,692000,house
161,Ferntree Gully,537500,unit
268,Ferny Creek,733000,house
269,Fingal,1240000,house
162,Fishermans Bend,883000,unit
270,Fitzroy,1392500,house
163,Fitzroy,755500,unit
271,Fitzroy North,1377500,house
164,Fitzroy North,640000,unit
272,Fiveways,485000,house
273,Flemington,1000000,house
165,Flemington,407500,unit
274,Flinders,1670000,house
275,Flora Hill,370000,house
166,Flora Hill,244500,unit
276,Flowerdale,290000,house
277,Footscray,810000,house
167,Footscray,410000,unit
278,Forest Hill,900000,house
168,Forest Hill,727500,unit
279,Foster,325000,house
169,Foster,180000,unit
144,Fountain Gate,605000,house
145,Fountain Gate,430000,unit
280,Frankston,580500,house
170,Frankston,414500,unit
146,Frankston East,698750,house
147,Frankston East,485500,unit
148,Frankston Heights,698750,house
149,Frankston Heights,485500,unit
281,Frankston North,423000,house
171,Frankston North,400000,unit
282,Frankston South,817500,house
172,Frankston South,615000,unit
283,Fraser Rise,598000,house
284,Fyansford,617500,house
285,Garden City,1375000,house
286,Gardenvale,1740000,house
173,Gardenvale,641500,unit
287,Garfield,540000,house
150,Garfield North,592250,house
151,Garfield North,428750,unit
288,Geelong,720000,house
174,Geelong,547500,unit
289,Geelong West,675000,house
175,Geelong West,434000,unit
290,Gembrook,650000,house
152,Gilderoy,592250,house
153,Gilderoy,429500,unit
291,Gisborne,730000,house
176,Gisborne,510000,unit
292,Gladstone Park,636500,house
154,Gladysdale,592250,house
155,Gladysdale,429500,unit
293,Glen Huntly,1380000,house
177,Glen Huntly,524000,unit
294,Glen Iris,1929500,house
178,Glen Iris,630000,unit
295,Glen Waverley,1270000,house
179,Glen Waverley,847500,unit
156,Glengala,742125,house
157,Glengala,490500,unit
296,Glengarry,324000,house
297,Glenrowan,372500,house
298,Glenroy,700000,house
180,Glenroy,529000,unit
299,Golden Beach,220000,house
300,Golden Point (Ballarat),370000,house
181,Golden Point (Ballarat),319500,unit
301,Golden Square,340000,house
182,Golden Square,277000,unit
302,Gordon,495000,house
303,Goughs Bay,299500,house
304,Gowanbrae,700500,house
305,Grantville,397500,house
306,Green Lake,290000,house
307,Greensborough,797500,house
183,Greensborough,633000,unit
308,Greenvale,715000,house
184,Greenvale,561500,unit
158,Greythorn,1087875,house
159,Greythorn,701750,unit
309,Grovedale,505000,house
185,Grovedale,399000,unit
160,Gruyere,711625,house
161,Gruyere,557750,unit
162,Guys Hill,598625,house
163,Guys Hill,429375,unit
310,Hadfield,727500,house
186,Hadfield,502500,unit
311,Hallam,560000,house
187,Hallam,415000,unit
312,Halls Gap,310000,house
313,Hamilton,208500,house
188,Hamilton,187500,unit
314,Hamlyn Heights,540000,house
189,Hamlyn Heights,470000,unit
315,Hampton,1896000,house
190,Hampton,775000,unit
316,Hampton East,1195000,house
191,Hampton East,597000,unit
164,Hampton North,1228250,house
165,Hampton North,637125,unit
317,Hampton Park,502000,house
192,Hampton Park,400000,unit
166,Harkaway,605000,house
167,Harkaway,430000,unit
318,Harkness,475000,house
193,Harkness,348500,unit
168,Hartwell,1422875,house
169,Hartwell,735500,unit
319,Hastings,506000,house
194,Hastings,390000,unit
320,Hastings West,430000,house
170,Hawksburn,1385000,house
171,Hawksburn,606750,unit
321,Hawthorn,2195500,house
195,Hawthorn,540000,unit
322,Hawthorn East,2050000,house
196,Hawthorn East,616500,unit
172,Hawthorn North,1385000,house
173,Hawthorn North,606750,unit
174,Hawthorn West,1385000,house
175,Hawthorn West,606750,unit
323,Healesville,579500,house
197,Healesville,475000,unit
324,Heathcote,332500,house
325,Heatherton,965000,house
326,Heathmont,871000,house
198,Heathmont,638000,unit
327,Heidelberg,1122500,house
199,Heidelberg,657500,unit
328,Heidelberg Heights,777500,house
200,Heidelberg Heights,626000,unit
329,Heidelberg West,665000,house
201,Heidelberg West,578500,unit
330,Hepburn,452500,house
331,Hepburn Springs,595000,house
332,Herne Hill,534000,house
202,Herne Hill,290000,unit
333,Heyfield,195000,house
334,Heywood,178000,house
335,Highett,1229500,house
203,Highett,665000,unit
176,Highpoint City,960500,house
177,Highpoint City,520125,unit
336,Highton,690000,house
204,Highton,424000,unit
178,Hillside,595750,house
179,Hillside,435500,unit
337,Hillside (Melton),642000,house
205,Hillside (Melton),460000,unit
180,Hoddles Creek,632000,house
181,Hoddles Creek,498375,unit
182,Holmesglen,1194500,house
183,Holmesglen,620875,unit
338,Hopetoun,66000,house
184,Hopetoun Gardens,1496250,house
185,Hopetoun Gardens,655125,unit
339,Hoppers Crossing,528500,house
206,Hoppers Crossing,400000,unit
340,Horsham,269000,house
207,Horsham,220000,unit
186,Houston,1165750,house
187,Houston,740000,unit
341,Hughesdale,1150500,house
208,Hughesdale,622000,unit
342,Huntingdale,914000,house
209,Huntingdale,661000,unit
343,Huntly,367500,house
344,Hurstbridge,700000,house
345,Indented Head,606000,house
346,Inglewood,185000,house
347,Inverleigh,503000,house
348,Inverloch,592500,house
210,Inverloch,515000,unit
349,Invermay Park,475000,house
188,Iona,553625,house
189,Iona,429125,unit
350,Ironbark,296000,house
351,Irymple,380000,house
211,Irymple,135000,unit
352,Ivanhoe,1540000,house
212,Ivanhoe,632500,unit
353,Ivanhoe East,1765000,house
213,Ivanhoe East,597000,unit
190,Ivanhoe North,1010000,house
191,Ivanhoe North,638250,unit
354,Jacana,512500,house
214,Jacana,410000,unit
355,Jackass Flat,331500,house
356,Jamieson,311500,house
357,Jan Juc,870000,house
358,Jeeralang North,235000,house
359,Jeparit,81000,house
215,Jolimont,1041500,unit
360,Junction Village,483500,house
216,Junction Village,285000,unit
361,Junortoun,530000,house
362,Kalimna,292500,house
363,Kalkallo,532500,house
364,Kallista,700000,house
365,Kalorama,645000,house
366,Kangaroo Flat,340000,house
217,Kangaroo Flat,240000,unit
192,Kangaroo Ground,880750,house
193,Kangaroo Ground,610000,unit
367,Kangaroo Ground South,815500,house
368,Kaniva,169500,house
194,Karingal,698750,house
195,Karingal,485500,unit
196,Karingal Centre,698750,house
197,Karingal Centre,485500,unit
369,Kealba,596000,house
370,Keilor,836500,house
371,Keilor Downs,630000,house
218,Keilor Downs,466000,unit
372,Keilor East,835000,house
219,Keilor East,642000,unit
373,Keilor Lodge,740000,house
198,Keilor North,614125,house
199,Keilor North,450250,unit
374,Keilor Park,708000,house
375,Kennington,373500,house
220,Kennington,267500,unit
376,Kensington,980000,house
221,Kensington,518500,unit
200,Keon Park,919750,house
201,Keon Park,546500,unit
377,Kerang,170000,house
202,Kerrimuir,1165750,house
203,Kerrimuir,731000,unit
378,Kew,2255000,house
222,Kew,804000,unit
379,Kew East,1837000,house
380,Kew North,1833000,house
223,Kew North,881000,unit
381,Keysborough,740000,house
224,Keysborough,590500,unit
382,Kialla,450000,house
383,Kilcunda,533000,house
384,Killara (Wodonga),453500,house
385,Kilmore,435000,house
225,Kilmore,335000,unit
386,Kilsyth,642500,house
226,Kilsyth,568000,unit
387,Kilsyth South,761500,house
388,Kinglake,555000,house
389,Kings Park,510000,house
390,Kingsbury,660000,house
227,Kingsbury,547500,unit
391,Kingsville,1010000,house
228,Kingsville,408000,unit
204,Kingsville West,842500,house
205,Kingsville West,516000,unit
206,Knox City Centre,919500,house
207,Knox City Centre,622500,unit
392,Knoxfield,760000,house
229,Knoxfield,625000,unit
393,Koo Wee Rup,550000,house
230,Koo Wee Rup,415000,unit
394,Koondrook,212500,house
231,Kooyong,735000,unit
395,Koroit,345000,house
396,Korumburra,319000,house
232,Korumburra,311000,unit
208,Kunyung,698750,house
209,Kunyung,485500,unit
397,Kurunjang,420500,house
233,Kurunjang,372000,unit
398,Kyabram,263000,house
234,Kyabram,205000,unit
399,Kyneton,595000,house
235,Kyneton,420000,unit
210,La Trobe University,833000,house
211,La Trobe University,559750,unit
212,Laburnum,1087875,house
213,Laburnum,706250,unit
400,Lake Boga,239000,house
401,Lake Gardens,552500,house
402,Lake Tyers Beach,357500,house
403,Lake Wendouree,836500,house
236,Lake Wendouree,473500,unit
404,Lakes Entrance,310000,house
237,Lakes Entrance,220000,unit
405,Lalor,590500,house
238,Lalor,442000,unit
214,Lalor Plaza,595250,house
215,Lalor Plaza,430250,unit
406,Lancefield,500000,house
407,Lang Lang,495000,house
408,Langwarrin,617500,house
239,Langwarrin,450500,unit
216,Langwarrin South,605000,house
217,Langwarrin South,431000,unit
409,Lara,495000,house
240,Lara,377500,unit
410,Lara Lake,540000,house
241,Lara Lake,379000,unit
411,Launching Place,554000,house
412,Laverton,529000,house
242,Laverton,505000,unit
218,Laverton North,635000,house
219,Laverton North,465000,unit
220,Laverton Raaf,738750,house
221,Laverton Raaf,530000,unit
413,Laverton South,622500,house
243,Laverton South,468000,unit
414,Learmonth,331000,house
415,Leneva,426000,house
416,Leongatha,367000,house
244,Leongatha,247500,unit
417,Leopold,510000,house
245,Leopold,391500,unit
418,Lilydale,680000,house
246,Lilydale,500000,unit
419,Linton,256500,house
420,Lismore,144500,house
222,Little River,637750,house
223,Little River,441250,unit
421,Loch Sport,244000,house
422,Lockington,222000,house
423,Long Gully,280000,house
247,Long Gully,255000,unit
424,Longwarry,405000,house
248,Longwarry,330000,unit
425,Lorne,1295000,house
249,Lorne,815000,unit
426,Lovely Banks,570000,house
427,Lower Plenty,905000,house
250,Lower Plenty,545000,unit
428,Lucas,431000,house
429,Lucknow,275000,house
430,Lynbrook,623000,house
251,Lynbrook,535000,unit
431,Lyndhurst,665000,house
432,Lysterfield,956500,house
433,Lysterfield South,1045000,house
224,Macclesfield,632000,house
225,Macclesfield,498375,unit
434,Macedon,800000,house
435,Macleod,914500,house
252,Macleod,655000,unit
226,Macleod West,919750,house
227,Macleod West,605125,unit
436,Macs Cove,300000,house
437,Maddingley,460000,house
253,Maddingley,365000,unit
438,Maffra,255000,house
254,Maffra,220000,unit
439,Maiden Gully,512500,house
440,Maidstone,779000,house
255,Maidstone,575000,unit
228,Main Ridge,797500,house
