,suburb,Count,price,yield,cagr,ptype,total_income
94,Craigieburn,1588.125,362000,0.04740331491712707,0.04947672579708828,H,0.09688004071421535
95,Essendon,665.625,942000,0.02208067940552017,0.062390415470968685,H,0.08447109487648885
96,Gladstone Park,222.1875,400000,0.0429,0.06042391764860566,H,0.10332391764860566
97,Tullamarine,222.1875,412000,0.0416504854368932,0.04880991069483964,H,0.09046039613173285
98,Keilor,31.875,633000,0.030230647709320695,0.050726237103280614,H,0.08095688481260131
99,Moonee Ponds,231.5625,920000,0.02741304347826087,0.0671841097645598,H,0.09459715324282067
100,Ascot Vale,231.5625,810000,0.031135802469135804,0.05696379645543881,H,0.08809959892457461
101,Oak Park,310.625,626000,0.029073482428115017,0.052201195238462006,H,0.08127467766657702
102,Glenroy,310.625,500000,0.0364,0.05240977914892553,H,0.08880977914892553
103,Fawkner,310.625,444000,0.04099099099099099,0.056175506315376156,H,0.09716649730636714
104,Pascoe Vale,198.75,655000,0.029374045801526718,0.05387149694134319,H,0.08324554274286991
105,Coburg North,198.75,600000,0.03206666666666667,0.05969576155461764,H,0.0917624282212843
106,Sunbury,742.5,360000,0.04622222222222222,0.06061980698374558,H,0.1068420292059678
107,Bundoora,639.375,553500,0.03288166214995483,0.058122010328039986,H,0.09100367247799482
108,Greensborough,639.375,574000,0.03170731707317073,0.061274676611179135,H,0.09298199368434987
109,Hurstbridge,639.375,482000,0.03775933609958506,0.05702972088417524,H,0.0947890569837603
110,Eltham,130.0,670000,0.03050149253731343,0.05888092039146309,H,0.08938241292877652
111,Research,130.0,685000,0.029833576642335765,0.05655308447211915,H,0.08638666111445492
112,Montmorency,130.0,614000,0.033283387622149836,0.06088801291785928,H,0.09417140054000911
113,Fairfield,98.4375,945000,0.029164021164021163,0.06651763528952803,H,0.0956816564535492
114,Alphington,98.4375,1029000,0.026783284742468418,0.06498470525094646,H,0.09176798999341487
115,Heidelberg,305.625,840500,0.023200475907198096,0.04389450848501286,H,0.06709498439221095
116,Heidelberg West,305.625,461000,0.04229934924078091,0.059241540651006064,H,0.10154088989178697
117,Ivanhoe,103.125,1203000,0.02204488778054863,0.0674182781394781,H,0.08946316592002672
118,Ivanhoe East,103.125,1513000,0.01752808988764045,0.06301139518704968,H,0.08053948507469014
